K,C,X,Y,R,S,df,ConfigID,rewards
210,212,256,48,5,5,eye,765,40228273
98,450,80,208,1,1,eye,766,20217601
150,384,24,112,1,1,dla,765,2661121
370,360,232,248,9,9,shi,765,9668455201
114,224,224,160,7,7,shi,761,818735233
4,342,16,40,1,1,eye,573,68401
86,500,216,32,3,3,eye,766,16000001
134,32,176,224,9,9,dla,373,396301249
340,22,256,144,5,5,shi,765,141486445
428,364,136,8,3,3,eye,574,8517601
126,388,160,224,9,9,eye,764,285505921
318,178,104,88,5,5,eye,761,48434157
464,282,256,48,7,7,eye,763,154269793
292,294,128,248,5,5,shi,759,1066661401
496,200,232,144,7,7,shi,763,3296850001
414,94,152,56,1,1,shi,767,6501041
40,156,216,208,5,5,eye,765,25686337
294,122,224,200,9,9,eye,762,256118017
184,108,176,256,1,1,eye,766,16920577
358,354,224,128,9,9,eye,757,578404849
310,296,160,120,1,1,shi,767,32015361
132,446,80,248,7,7,dla,767,812181525.0
380,104,192,24,7,7,eye,765,17463889
114,232,152,184,7,7,dla,761,582650961
76,34,56,256,3,3,shi,759,5069809
84,10,112,128,7,7,eye,767,1484281
84,194,216,168,3,3,eye,767,33156929
110,138,56,104,5,5,eye,766,7617601
430,206,72,120,1,1,eye,767,23137921
156,38,200,112,5,5,shi,767,58133921
232,20,136,144,5,5,shi,571,45982981
114,192,208,216,1,1,dla,764,17521921
186,336,152,200,3,3,eye,766,113097601
152,116,80,216,9,9,eye,763,68659009
198,504,152,208,3,3,eye,766,187790401
260,362,24,224,1,1,shi,765,9939073
452,164,128,48,1,1,eye,767,7777537
36,12,144,8,7,7,dla,383,487693
144,180,248,104,9,9,shi,575,1007886241
134,446,232,104,1,1,eye,764,27830401
260,64,184,248,5,5,dla,765,286621921
470,452,16,248,7,7,shi,765,416552353
272,336,104,40,5,5,eye,763,36739585
110,262,200,208,3,3,shi,766,206120641
92,124,152,216,3,3,eye,699,22793185.0
108,130,152,112,1,1,eye,671,5110561.0
76,210,48,240,3,3,shi,711,26685121.0
374,50,104,248,3,3,shi,766,68897601
182,462,128,200,1,1,shi,766,48254977
504,124,200,64,5,5,eye,755,75245185.0
262,454,88,136,7,7,shi,565,1435940257
282,248,72,208,3,3,eye,569,88469041
62,70,128,112,7,7,shi,757,51967161
458,284,8,248,1,1,eye,382,35497729
220,420,240,48,9,9,eye,766,149856001
104,440,64,128,1,1,shi,763,6589441
70,462,192,80,3,3,shi,573,111016753
492,482,24,120,1,1,shi,767,12331489
172,330,64,120,1,1,shi,766,8110081
512,262,24,200,3,3,shi,763,106778625
364,348,256,208,5,5,eye,762,522322945
84,502,160,56,3,3,shi,767,60149139
122,74,136,144,1,1,shi,764,4226881
348,184,192,120,7,7,eye,767,160288105.0
288,312,160,208,7,7,eye,767,383707585
352,254,208,136,7,7,shi,574,2655588289
58,256,200,200,3,3,eye,767,36833281
420,290,16,232,1,1,eye,383,30612401
342,24,80,72,3,3,eye,572,3589633
300,260,88,240,3,3,eye,575,113360001
318,66,72,120,1,1,dla,574,6013441
136,200,120,136,5,5,eye,763,36903601
286,120,216,168,7,7,shi,766,1059739201
442,380,80,104,7,7,eye,575,231877521
148,266,16,192,1,1,eye,573,8426881
406,168,56,104,9,9,dla,762,455417857
298,94,1,56,1,1,eye,767,1710801
230,196,80,184,5,5,dla,765,315898561
342,234,16,48,3,3,dla,764,8026817
238,262,240,56,9,9,shi,570,1172025561
294,494,168,176,5,5,shi,762,1788456853
248,6,216,112,9,9,eye,763,5794273
262,446,152,72,1,1,shi,575,38777025
222,446,80,72,5,5,eye,569,69770457
2,478,184,32,1,1,shi,760,263857
294,122,120,192,9,9,eye,762,122238145
472,230,176,120,3,3,eye,766,118680001
472,332,136,40,3,3,shi,763,189866485
96,358,200,152,5,5,eye,767,103447681
54,324,32,96,7,7,dla,764,37234081
326,402,32,168,5,5,shi,757,276388669
98,440,176,168,7,7,eye,762,152570881
416,282,72,136,3,3,shi,571,222775489
292,428,40,80,9,9,shi,567,648125537
312,350,72,152,1,1,shi,767,25552801
218,142,1,224,1,1,eye,142,7633921
494,340,192,160,3,3,eye,766,243270001
144,104,248,112,1,1,shi,767,8047105
26,506,128,200,1,1,shi,764,7772161
364,438,224,112,7,7,eye,762,501436417
502,238,152,80,9,9,eye,767,233426593
438,472,8,112,7,7,dla,761,36523361
134,154,120,200,5,5,shi,757,240368129
394,156,32,208,9,9,shi,757,478312849
490,160,96,136,3,3,shi,765,199731841
454,384,56,96,7,7,eye,762,111621121
170,366,88,200,7,7,shi,765,1000298497
388,168,240,1,1,1,dla,767,308881
196,268,216,72,9,9,eye,762,136392705
258,362,32,88,9,9,shi,569,363217045
204,224,192,144,1,1,shi,767,28514305
294,416,8,120,1,1,shi,766,2156545
100,492,144,8,1,1,eye,573,1298881
490,292,64,168,1,1,shi,719,29882113.0
494,228,200,1,1,1,eye,766,492481
160,304,104,96,1,1,eye,705,10272769.0
122,512,176,224,3,3,shi,757,398520321
340,122,240,200,5,5,shi,765,979724417
510,100,128,208,7,7,shi,765,1219879201
430,158,232,200,7,7,eye,765,373615649
492,254,48,136,3,3,shi,575,155710129
178,122,152,256,9,9,eye,565,148667737
114,322,64,224,5,5,shi,761,220541665
350,146,104,176,3,3,dla,765,169582141
204,30,208,72,7,7,dla,383,133493317
402,28,80,16,7,7,eye,569,2213681
184,46,48,104,7,7,dla,763,37204525
450,24,80,248,9,9,shi,765,251976961
12,52,72,40,5,5,eye,767,250433
402,2,144,160,5,5,shi,725,8453257.0
394,496,8,120,1,1,eye,95,25534081
232,266,16,240,1,1,eye,383,16598401
198,200,216,152,7,7,shi,766,1222776001
22,230,200,208,3,3,eye,766,12696001
392,176,240,248,7,7,shi,763,3165421953
172,194,160,152,7,7,shi,759,755935357
138,148,96,144,3,3,dla,749,50655661.0
294,170,192,144,5,5,eye,762,105557761
394,84,72,64,7,7,dla,568,148786705
406,204,208,240,5,5,shi,762,1691550049
56,464,232,168,3,3,eye,763,53111297
368,428,56,208,5,5,eye,763,162248809
450,338,32,208,9,9,shi,765,1182912121
6,30,40,224,9,9,eye,381,350641
236,192,176,176,9,9,shi,759,1850462785
64,414,56,224,3,3,eye,763,17891425
474,438,112,8,1,1,eye,767,3644161
278,248,240,200,7,7,eye,764,380586753
256,84,152,72,7,7,shi,571,307792129
472,414,48,208,5,5,shi,763,860674537
404,156,136,184,3,3,eye,572,105342121
66,282,128,64,1,1,eye,766,2598913
144,6,24,144,7,7,shi,767,2286793
408,142,208,144,1,1,eye,767,36152065
206,104,96,88,9,9,dla,757,236389121
504,204,200,168,9,9,eye,767,450179857
70,288,48,112,1,1,dla,765,2069761
158,158,224,120,5,5,eye,765,60914689
142,98,128,72,1,1,shi,575,3913729
204,78,176,248,1,1,eye,767,12825073
508,136,8,88,7,7,dla,759,12309349
506,196,80,200,1,1,eye,574,43276801
154,308,144,128,5,5,eye,766,89258401
250,90,32,168,1,1,shi,767,2358721
338,294,176,200,5,5,eye,765,301079521
274,60,256,256,7,7,shi,757,806743681
468,428,152,160,9,9,shi,767,7009838785
230,278,208,120,3,3,dla,765,254383221
22,188,32,32,1,1,dla,766,73729
366,36,144,200,3,3,eye,761,23914441
358,402,248,240,5,5,eye,767,696971521
174,64,40,128,1,1,shi,766,983041
276,96,144,40,7,7,shi,767,179210113
302,376,40,88,7,7,shi,565,378923025
252,144,160,56,9,9,dla,767,447237505
360,88,184,40,3,3,shi,575,52052881
462,360,152,240,5,5,eye,766,600929281
452,416,64,248,9,9,shi,759,3412968833
104,500,112,88,1,1,eye,767,10296001
466,248,120,56,7,7,eye,767,91148929.0
298,100,184,64,1,1,dla,767,7654401
30,268,192,112,5,5,eye,765,13319065
380,342,224,64,3,3,eye,765,99341425
210,356,136,216,7,7,shi,765,1905452977
30,168,256,32,3,3,eye,765,1834561
454,300,256,128,3,3,eye,767,208756801
72,356,88,88,1,1,shi,767,4887169
278,120,144,224,7,7,eye,764,157847041
470,312,48,136,5,5,shi,573,484307929
268,318,248,8,1,1,eye,765,3022273
480,68,144,160,1,1,shi,767,15275521
420,342,104,104,9,9,shi,767,2234152621
398,234,72,224,9,9,eye,762,181823617
100,354,176,240,5,5,shi,765,609375601
178,512,56,112,7,7,eye,757,72179713
166,390,72,32,3,3,eye,575,11902801
122,336,176,56,7,7,shi,757,341975761
122,102,248,128,7,7,dla,757,356590873
6,54,240,88,7,7,shi,570,7433641
420,112,200,24,7,7,eye,767,27706561.0
30,466,104,104,3,3,eye,765,8650825
298,260,104,176,5,5,shi,757,583424401
472,108,72,184,5,5,shi,763,260245225
370,278,96,208,5,5,shi,765,947093737
142,170,72,216,3,3,eye,574,31824001
24,22,168,256,1,1,eye,767,439297
214,200,160,256,3,3,shi,760,246407201
224,276,96,240,1,1,shi,767,26178049
94,126,232,136,3,3,dla,767,53750081
