M,N,GEMM_K,df,ConfigID,rewards
210,11088,5300,eye,765,40228273.0
98,16640,450,eye,766,20217601.0
150,2688,384,dla,765,2661121.0
370,53760,29160,shi,765,9668455201.0
114,33572,10976,shi,761,818735233.0
4,640,342,eye,573,68401.0
86,6420,4500,eye,766,16000001.0
134,36288,2592,dla,373,396301249.0
340,35280,550,shi,765,141486445.0
428,804,3276,eye,574,8517601.0
126,32832,31428,eye,764,285505921.0
318,8400,4450,eye,761,48434157.0
464,10500,13818,eye,763,154269793.0
292,30256,7350,shi,759,1066661401.0
496,31188,9800,shi,763,3296850001.0
414,8512,94,shi,767,6501041.0
40,43248,3900,eye,765,25686337.0
294,41472,9882,eye,762,256118017.0
184,45056,108,eye,766,16920577.0
358,25920,28674,eye,757,578404849.0
310,19200,296,shi,767,32015361.0
132,17908,21854,dla,767,812181525.0
380,3348,5096,eye,765,17463889.0
114,25988,11368,dla,761,582650961.0
76,13716,306,shi,759,5069809.0
84,12932,490,eye,767,1484281.0
84,35524,1746,eye,767,33156929.0
110,5200,3450,eye,766,7617601.0
430,8640,206,eye,767,23137921.0
156,21168,950,shi,767,58133921.0
232,18480,500,shi,571,45982981.0
114,44928,192,dla,764,17521921.0
186,29700,3024,eye,766,113097601.0
152,14976,9396,eye,763,68659009.0
198,30900,4536,eye,766,187790401.0
260,5376,362,shi,765,9939073.0
452,6144,164,eye,767,7777537.0
36,276,588,dla,383,487693.0
144,23040,14580,shi,575,1007886241.0
134,24128,446,eye,764,27830401.0
260,43920,1600,dla,765,286621921.0
470,2420,22148,shi,765,416552353.0
272,3600,8400,eye,763,36739585.0
110,40788,2358,shi,766,206120641.0
92,32100,1116,eye,699,22793185.0
108,17024,130,eye,671,5110561.0
76,10948,1890,shi,711,26685121.0
374,25092,450,shi,766,68897601.0
182,25600,462,shi,766,48254977.0
504,11760,3100,eye,755,75245185.0
262,10660,22246,shi,565,1435940257.0
282,14420,2232,eye,569,88469041.0
62,12932,3430,shi,757,51967161.0
458,1984,284,eye,382,35497729.0
220,9280,34020,eye,766,149856001.0
104,8192,440,shi,763,6589441.0
70,14820,4158,shi,573,111016753.0
492,2880,482,shi,767,12331489.0
172,7680,330,shi,766,8110081.0
512,4356,2358,shi,763,106778625.0
364,51408,8700,eye,762,522322945.0
84,8532,4518,shi,767,60149139.0
122,19584,74,shi,764,4226881.0
348,21204,9016,eye,767,160288105.0
288,31108,15288,eye,767,383707585.0
352,26260,12446,shi,574,2655588289.0
58,39204,2304,eye,767,36833281.0
420,3712,290,eye,383,30612401.0
342,5460,216,eye,572,3589633.0
300,20468,2340,eye,575,113360001.0
318,8640,66,dla,574,6013441.0
136,15312,5000,eye,763,36903601.0
286,34020,5880,shi,766,1059739201.0
442,7252,18620,eye,575,231877521.0
148,3072,266,eye,573,8426881.0
